Title,Lyrics,Source File
Humming (Interlude 2),,Lyrics_DaddysHome.json
Somebody Like Me,"Paint yourself white Clip on the wings Climb high to the top of a building Does it make you an angel Or some kind of freak To believe enough In somebody like me? Baby Oh, I , guess we'll see Who was the freak Dress up in white Slip on the ring Walk straight down the aisle To the violin strings Does it make you a genius or The fool of the week To believe enough In somebody like me? Baby Oh, I , guess we'll see Who was thе freak Time , tells us things That you and I can't see",Lyrics_DaddysHome.json
My Baby Wants a Baby,"My baby loves me like a saint My baby hates when I'm away My baby wants a baby How can I go on? What in the world Would my baby say? ""I got your eyes and your mistakes"" You make a home I run away And the story starts again Then I couldn't stay in bed all day I couldn't leave like my daddy And I wouldn't be your only baby anymore My baby's closer than a shave My baby's blue when I dye greys My baby wants a baby How can it be wrong, wrong? But I wanna play guitar all day Make all my meals in microwaves Only dress up if I get paid How can it be wrong, wrong? What in the world, what in the world would my baby say? ""I got your eyes and your mistakes"" I wanna run, I wanna run, I wanna chase The еnding I can't see Then I won't have no legacy 'Causе I won't write no symphonies Won't have no streets named after me Won't even have your sympathy No one will scream that song I made Won't throw no roses on my grave They'll just look at me and say ""Where's your baby?""",Lyrics_DaddysHome.json
...At the Holiday Party,"At the holiday party Red wine-lipped a little early Reminiscin' got us laughin' And that's when I saw your face crackin' Smiles and smoke and screens Your Gucci purse a pharmacy Pretend to want these things So no one sees you not gettin' Not gettin' what you need, need Need, need You can't hide from me Are you still workin' on your screenplay Or did those lights go out on Broadway? Think if you can just keep spinnin' You won't miss what you've been missin' Pills and JUULs and speed Your little purse a pharmacy And hide behind these things So no one sees you not gettin' Not gettin' what you need, need Need, need You can't hide, you can't hide from me",Lyrics_DaddysHome.json
Candy Darling,"Candy Darling Who knows why the caged bird even sings? For high-priced lowlives Red bodega roses, you and me I never wanna leave Your perfume candy dream So, queen of South Queens We never did stop cheerin' for you, babe And your wig, blonde, rolls home Wavin' from the latest uptown train I never wanna leave Your perfume candy scene So, Candy Darling I brought bodega roses for your feet And Candy, my sweet I hope you will be comin' home to me",Lyrics_DaddysHome.json
Humming (Interlude 3),"In the park, she didn't show up You take a high note and I'll join a chorus And all my girls will keep humming",Lyrics_DaddysHome.json
Hang on Me,"I know you're probably sleepin' I got this thing I keep thinkin' Yeah, I admit I been drinkin' The void is back and unblinkin' I cannot stop the airplane from crashin' And we circle down from the sky Yeah, so hang on me Hang on me, hang on me 'Cause you and me We're not meant for this world You and me We're not meant for this world I know you hate my hysterics I promise this time is different I won't cry wolf in the kitchen Just please, oh, please don't hang up yet I cannot stop the taxi cab from crashin' And only lovers will survive Yeah, so hang on me Hang on me, hang on me 'Cause you and me We're not meant for this world You and me We're not meant for this world You and me We're not meant for this world You and me We're not meant for this world",Lyrics_MASSEDUCTION.json
Pills,"Pills to wake, pills to sleep Pills, pills, pills every day of the week Pills to work, pills to think Pills, pills, pills for the family I spent a year suspended in air My mind on the gap, my head on the stairs From healers to dealers and then back again From guru to voodoo and voodoo to zen Pills to wake, pills to sleep Pills, pills, pills every day of the week Pills to work, pills to think Pills, pills, pills for the family Pills to grow, pills to shrink Pills, pills, pills and a good stiff drink Pills to fuck, pills to eat Pills, pills, pills down the kitchen sink I'm behind the wheel, I'm leavin' your state I can't even swim in these waves I made From the bath to the drain, and the plane to the stage To the bed, to give head, to the money I made Pills to wake, pills to sleep Pills, pills, pills every day of the week Pills to work, pills to think Pills, pills, pills for the family Pills to grow, pills to shrink Pills, pills, pills and a good stiff drink Pills to fuck, pills to eat Pills, pills, pills down the kitchen sink I heard the tales, fortune and blame Tigers and wolves defanged by fame From the chains to the reigns to the vein to the brain Anyway there's a day and I'll pay it in pain Pills to wake, pills to sleep Pills, pills, pills every day of the week Pills to work, pills to think Pills, pills, pills for the family Pills to grow, pills to shrink Pills, pills, pills and a good stiff drink Pills to fuck, pills to eat Pills, pills, pills down the kitchen sink Pills to wake, pills to sleep Pills, pills, pills every day of the week Pills to work, pills to think Pills, pills, pills for the family Pills to grow, pills to shrink Pills, pills, pills and a good stiff drink Pills to fuck, pills to eat Pills, pills, pills down the kitchen sink Pills to wake, pills to sleep Pills, pills, pills every day of the week Pills to work, pills to think Pills, pills, pills for the family Pills to grow, pills to shrink Pills, pills, pills and a good stiff drink Pills to fuck, pills to eat Pills, pills, pills down the kitchen sink Come all you villains, come one and all Come all you killers, come join the wall Come all you wasted, wretched, and scorned Come on and face it, come join the wall Come climb the rafters, come out to space Come for the answers, throw them away Come kiss me stupid, come kiss me sore Come find me standin' under the wall Come all you killers, come out to play Everyone you know will all go away Come all you wasted, wretched, and scorned Come watch me standin' under the wall Come all you children, come out to play Everyone you love will all go away",Lyrics_MASSEDUCTION.json
Masseduction,"政権の腐敗 政権の腐敗-敗 政権の腐敗 政権の腐敗-敗 政権の腐敗 政権の腐敗-敗 政権の腐敗 政権の腐敗-敗 Black saint, sinner lady Playin' knock-off soul A punk rock romantic Slumped on the kitchen floor Nuns in stress positions Smokin' Marlboros Lolita is weeping ""The bride is beautiful"" Mass seduction Mass seduction I can't turn off what turns me on Mass seduction I can't turn off what turns me on Mass seduction I hold you like a weapon Mass destruction I don't turn off what turns me on Mass seduction I can't turn off what turns me on Mass seduction I can't turn off what turns me on Mass seduction I hold you like a weapon Mass destruction I don't turn off what turns me on Smilin' nihilist met Angry glass half full Drinkin' Manic Panic Singin' Boatman's Call Teenage, Christian virgins Holdin' out their tongues Paranoid secretions Fallin' on basement rugs Mass seduction I can't turn off what turns me on Mass seduction I can't turn off what turns me on Mass seduction I hold you like a weapon Mass destruction I don't turn off what turns me on Mass seduction I can't turn off what turns me on Mass seduction I can't turn off what turns me on Mass seduction I hold you like a weapon Mass destruction I don't turn off what turns me on Oh, what a bore to be so adored Oh, what a bore to be so adored Mass seduction I can't turn off what turns me on Mass seduction I can't turn off what turns me on Mass seduction I hold you like a weapon Mass destruction I don't turn off what turns me on Mass destruction Mass destruction Mass destruction Mass destruction I don't turn off what turns me on Mass destruction Mass destruction Mass destruction Mass destruction",Lyrics_MASSEDUCTION.json
Sugarboy,"Oh, yeah, oh, yeah Oh, yeah, oh, yeah Boys Oh, yeah, oh, yeah Oh, yeah, oh, yeah Girls Sugarboy, I'm in need How I wish for somethin' sweet Sugarboy, I am weak Got a crush on tragedy Oh, here I go A casualty hangin' on from the balcony Oh, here I go Makin' a scene, oh here I am, your pain machine I am a lot like you I am alone like you I am a lot like you I am alone like you I am a lot like you I am alone like you I am a lot like you I am alone like you Sugargirl, figurine Pledge all your allegiance to me Sugargirl, dissolve in me Got a crush from kicked-in teeth Oh, here I go A casualty hangin' on from the balcony Oh, here I go Makin' a scene, oh here I am, your pain machine I am a lot like you I am alone like you I am a lot like you I am alone like you I am a lot like you I am alone like you I am a lot like you I am alone like you Boys, girls Boys, girls Boys, girls Boys, girls Boys, girls Boys, girls Boys, girls Boys, girls Boys, girls Boys, girls Boys, girls Boys, girls",Lyrics_MASSEDUCTION.json
Los Ageless,"In Los Ageless, the winter never comes In Los Ageless, the mothers milk their young But I can keep runnin' Oh, I can keep runnin', ah-ah, oh, ah-ah The lost sages hang out by the bar Burn the pages of unwritten memoirs But I can keep runnin' Oh, I can keep runnin' ah-ah, oh, ah-ah How can anybody have you? How can anybody have you and lose you? How can anybody have you and lose you And not lose their mind, too? How can anybody have you? How can anybody have you and lose you? How can anybody have you and lose you And not lose their mind, too? The last days of the sunset superstars Girls in cages playin' their guitars But how can I leave? I just follow the hood of my car, oh, ah-ah In Los Ageless, the waves they never break They build and build until you don't have no escape But how can I leave? I just follow my hood to the sea, go to sleep How can anybody have you? How can anybody have you and lose you? How can anybody have you and lose you And not lose their mind, too? How can anybody have you? How can anybody have you and lose you? How can anybody have you and lose you And not lose their mind, too? Oh my Lola, we really did it now I'm a monster and you're my sacred cow Oh, I can keep running No, I can't keep on running, ah-ah, oh, ah-ah How can anybody have you? How can anybody have you and lose you? How can anybody have you and lose you And not lose their mind, too? How can anybody have you? How can anybody have you and lose you? How can anybody have you and lose you And not lose their mind? I guess that's just me, honey, I guess that's how I'm built I try to tell you I love you and it comes out all sick I guess that's just me, honey, I guess that's how I'm built I try to write you a love song but it comes out a lament I guess that's just me, honey, I guess that's how I'm built I try to tell you I love you but it comes out all sick I guess that's just me, honey, I guess that's how I'm built I try to write you a love song but it comes out a lament I try to write you a love song but it comes out a lament I try to write you a love song but it comes out a lament",Lyrics_MASSEDUCTION.json
"Happy Birthday, Johnny","Remember one Christmas, I gave you Jim Carroll Intended it as a cautionary tale You said you saw yourself inside there Dog-eared it like a how-to manual Remember one summer, we walked in Times Square I showed you the zombies with hundred-inch stares You took a Bic, set your hotel on fire We took the blame, took the bags to the train Happy Birthday, Johnny Wherever you are Happy Birthday, Johnny Wherever you are The last time you called it was on New Years' Eve You asked me for dough to get somethin' to eat Since we last spoke, you live on the street Yeah, I wouldn't believe all the shit that you've seen Happy New Year, Johnny Is it twenty-three? Happy New Year, Johnny Are there lights on the trees? When I said, “Let me think,” and you yelled through your teeth Accused me of acting like all royalty Always for show, no true charity You saw me on magazines and TV But if they only knew the real version of me Only you know the secrets, the swamp, and the fear What happened to blood? Our family? Annie, how could you do this to me? Of course, I blame me When you get free, Johnny I hope you find peace",Lyrics_MASSEDUCTION.json
Savior,"You dress me up in a nurse's outfit It rides and sticks to my thighs and my hips You put me in a teacher's little denim skirt Ruler and desk so I can make it hurt But I keep you on your best behavior Honey, I can't be your savior Love you to the grave and farther Honey, I am not your martyr You dress me in a nun's black habit Hail Mary pass, 'cause you know I'll grab it Hand me a badge and a little billy club Like I'm supposed to book you on a hit-and-run Adore you to the grave and farther Honey, I can't be your martyr Maybe it's just human nature But, honey, I can't be your savior But then you say, ""Please"" Then you say, ""Please"" Dress me in leather Oh, that's a little better But that's still not it None of this shit fits But I keep you on your best behavior Honey, I can't be your savior Love you to the grave and farther Honey, I am not your martyr But then you say, ""Please"" Then you say, ""Please"" ""Please, please"" ""Please"" ""Please"" ""Please"" ""Please"" ""Please"" ""Please"" ""Please"" ""Please""",Lyrics_MASSEDUCTION.json
New York,"New York isn't New York without you, love So far in a few blocks to be so low And if I called you from First Avenue Well, you're the only motherfucker in the city who can handle me New love wasn't true love, back to you, love So much for a home run with some blue bloods If I last-strawed you on 8th Avenue Well, you're the only motherfucker in the city who can stand me I have lost a hero I have lost a friend But for you, darling I'd do it all again I have lost a hero I have lost a friend But for you, darling I'd do it all again New York isn't New York without you, love Too few of our old crew left on Astor So, if I trade our hood for some Hollywood Well, you're the only motherfucker in the city who would Only motherfucker in the city who would Only motherfucker in the city who'll forgive me I have lost a hero I have lost a friend But for you, darling I'd do it all again I have lost a hero I have lost a friend But for you, darling I'd do it all again",Lyrics_MASSEDUCTION.json
Fear the Future,"When the Earth split in two I was I, you were you I run for you, run for me, too When the wall rose and fell And the oceans all swell I run for you, run for me, too Come on, Sir, just give me an answer Come on, Sir, now I need an answer I won't be gone with the goners Come on, Sir, just give me the answer I fear the future When the club come and go To the top of your skull I run for you, what can I do? When the war started new In our bed, in our room I'll come for you, come for me, too Come on, Sir, just give me the answer Come on, Sir, now I need an answer My baby's lost to the monster Come on, Sir, just give me the answer I fear the future",Lyrics_MASSEDUCTION.json
Young Lover,"How long has this been going on? I found you in the bathtub with your clothing on Oh, so what? Your mother did a number So, I get gloves of rubber to clean up the spill, yeah No, I, young lover, I'm begging you please to wake up Young lover, I wish that I was your drug No, I, young lover, I miss the taste of your tongue No, I, young lover, I wish love was enough, enough You say ""You got no room to talk, babe"" You're boozin' on a midday and I don't see no cake Oh, but these pills, I can't even pronounce them Your thousand watts of light dim then you're gone again, yeah No, I, young lover, I'm begging you please to wake up Young lover, I wish that I was your drug No, I, young lover, I miss the taste of your tongue No, I, young lover, I wish love was enough, enough, enough We were in Paris, the Eiffel was shining All that I wanted was lying on tiling I heard the robins and thought they were sirens Wake up, young lover, I thought you were dyin' No, I, young lover No, I, young lover No, I No, I, young lover No, I, young lover No, I, young lover No, I, young lover No, I, young lover No, I, young lover No, I, young lover No, I, young lover No, I, young lover",Lyrics_MASSEDUCTION.json
Dancing with a Ghost,,Lyrics_MASSEDUCTION.json
Slow Disco,"I sway in place to a slow disco And a glass for the saints and a bow for the road Am I thinking what everybody's thinkin'? I'm so glad I came, but I can't wait to leave? Slip my hand from your hand Leave you dancin' with a ghost Slip my hand from your hand Leave you dancin' with a ghost There's blood in my ears and a fool in the mirror And the bay of mistakes couldn't get any clearer Am I thinking what everybody's thinkin'? I'm so glad I came, but I can't wait to leave? Slip my hand from your hand Leave you dancin' with a ghost Slip my hand from your hand Leave you dancin' with a ghost Don't it beat a slow dance to death? Don't it beat a slow dance to death? Don't it beat a slow dance to death? Don't it beat a slow dance to death? Don't it beat a slow dance to death? Don't it beat a slow dance to death?",Lyrics_MASSEDUCTION.json
Smoking Section,"Sometimes I sit in the smoking section Hopin' one rogue spark will land in my direction And when you stomp me out, I scream and I'll shout ""Let it happen, let it happen, let it happen"" And sometimes I feel like an inland ocean Too big to be a lake, too small to be an attraction And when you wander in and start to flail a bit I let it happen, let it happen, let it happen Sometimes I stand with a pistol in hand I fire at the grass just to scare you right back And when you won't run, I'm mad but I succumb Let it happen, let it happen, let it happen And sometimes I go to the edge of my roof And I think I'll jump just to punish you And if I should float on the taxis below No one would notice, no one will know And then I think What could be better than love, than love, than love? And then I think What could be better than love, than love, than love? It's not the end, it's not the end It's not the end, it's not the end It's not the end, it's not the end It's not the end, it's not the end It's not the end, it's not the end It's not the end, it's not the end",Lyrics_MASSEDUCTION.json
政権腐敗 (Power Corrupts),"政権の腐敗, 政権の腐敗 政権の腐敗, 政権の腐敗 政権の腐敗, 政権の腐敗 お互いの目と目をしっかり合わせましょう 相手が少し緊張気味でしたら、リラックスできるBGMをかけるのも良いですね あと、部屋は少し暗めの方がムードが出ますよね 政権の腐敗, 政権の腐敗 政権の腐敗, 政権の腐敗 政権の腐敗, 政権の腐敗 政権の腐敗, 政権の腐敗 お互いの目と目をしっかり合わせましょう 相手が少し緊張気味でしたら、リラックスできるBGMをかけるのも良いですね あと、部屋は少し暗めの方がムードが出ますよね 政権の腐敗, 政権の腐敗 政権の腐敗, 政権の腐敗 政権の腐敗, 政権の腐敗 政権の腐敗, 政権の腐敗 政権の腐敗, 政権の腐敗 政権の腐敗, 政権の腐敗 政権の腐敗, 政権の腐敗 政権の腐敗, 政権の腐敗 お互いの目と目をしっかり合わせましょう 相手が少し緊張気味でしたら、リラックスできるBGMをかけるのも良いですね あと、部屋は少し暗めの方がムードが出ますよね Mass destruction Mass seduction Mass destruction Mass destruction Mass destruction Mass seduction Mass destruction Mass destruction Mass destruction Mass seduction Mass destruction Mass destruction Mass destruction Mass destruction",Lyrics_MASSEDUCTION.json
"Now, Now","Your mother's favorite dog The carpet you walk on One small atomic bomb Any, any, any, any, any, any Anything at all The feather at your feet Your yellow brick street Anyone you'll see Any, any, any, any, any, any, any Anything Now, now Now, now Now, now I'll make you sorry The pawn to your king Your world on a string Anyone you'll beat Any, any, any, any, any, any, any Anything Any, any, any, any, any, any, any Anything Now, now Now, now Now, now I'll make you sorry",Lyrics_MarryMe.json
"Jesus Saves, I Spend","While Jesus is saving, I'm spending all my days In backgrounds and landscapes with the languages of saints While people are spinning like toys on Christmas Day I'm inside a still life with the other absentee While Jesus is saving, I'm spending all my days In the garden-grey pallor of lines across your face While people will cheer on the spectacle we've made I'm sitting and sculpting menageries of saints Oh, my man, my absentee I'd do anything to please you Come, my love, the stage is waiting Be the one to save my saving grace While Jesus is saving, I'm spending all my grace On the rosy-red pallor of lights on center stage While people have cheered on the awful mess we've made Through storms of red roses, we've exited the stage",Lyrics_MarryMe.json
Your Lips Are Red,"Your lips are red My face is red from reading your red lips My hands are black My hands are black inside this downtown taxi cab This city's red This city's red from riding us into the ground This city's black This city's black from all the ashes in downtown My face is drawn My face is drawn on with this number 2 pencil Your face is drawn Your face is drawn from drawing words right from my lips Your lips are red My face is red from reading your red lips My hands are red My hands are red from sealing your red lips Your skin's so fair Your skin's so fair, it's not fair Your skin's so fair Your skin's so fair, it's not fair Your skin's so fair Your skin's so fair, it's not fair Your skin's so fair Your skin's so fair, it's not fair Your skin's so fair, it's not fair Your skin's so fair Your skin's so fair, it's not fair Oh Your skins so fair, it's not fair Your skin's so fair Your skins so fair, it's not fair",Lyrics_MarryMe.json
Marry Me,"Marry me, John, marry me, John I'll be so good to you You won't realize I'm gone Marry me, John, marry me, John I'll be so sweet to you You won't realize I'm gone You won't realize I'm gone Many people wanna make money, make love Make friends, make peace with death But most mainly wanna win the game They came to win, they want to come out ahead But you, you're a rock with a heart Like a socket I can plug into at will And will you guess when I come around next? I hope your open sign is blinking still So marry me, John, marry me, John I'll be so good to you You won't realize I'm gone Marry me, John, marry me, John I'll be so good to you You won't realize I'm gone You won't realize I've gone As for me, I would have to agree I'm as fickle as a paper doll Being kicked by the wind When I touch down again I'll be in someone else's arms Oh, John, come on We'll do what married people do Oh, John, come on Let's do what Mary and Joseph did Without the kid So marry me, John, marry me, John I'll be so good to you You won't realize I've gone Marry me, John, marry me, John I'll be so good to you You won't realize I've gone You won't realize I've gone You won't realize I've gone You won't realize I've gone You won't realize I've gone You won't realize I've gone Many people wanna make money, make love Make friends, make peace with death Many people wanna make money, make love Make friends, make peace with death Many people wanna make money, make love Make friends, make peace with death Many people wanna make money, make love Make friends, make peace with death",Lyrics_MarryMe.json
Paris Is Burning,"I write to give word the war is over Send my cinders home to mother They gave me a medal for my valor Leaden trumpets spit the soot of power They say, ""I'm on your side when nobody is, 'cause nobody is Come sit right here and sleep while I slip poison in your ear."" We are waiting on a telegram to give us news of the fall I am sorry to report, dear Paris is burning after all We have taken to the streets in open rejoice, revolting We are dancing a black waltz, fair Paris is burning after all Oh no Enclosed in this letter, there's a picture Black and white for your refrigerator Sticks and stones have made me smarter It's words that cut me under my armor They say, ""I'm on your side when nobody is, 'cause nobody is Come sit right here and sleep while I slip poison in your ear."" We are waiting on a telegram to give us news of the fall I am sorry to report, dear Paris is burning after all We have taken to the streets in open rejoice, revolting We are dancing a black waltz, fair Paris is burning after all Oh no, ooh Dance, poor people, dance and drown Dance fair Paris to the ground Dance, poor people, dance and drown Dance fair Paris, ashes now Dance, poor people, dance and drown Dance fair Paris to the ground Dance, poor people, dance and drown Dance fair Paris, ashes now Dance, poor people, dance and drown Dance fair Paris to the ground Dance, poor people, dance and drown Dance fair Paris, ashes now",Lyrics_MarryMe.json
All My Stars Aligned,"I read the signs I got all my stars aligned My amulets, my charms I set all my false alarms So I'll be someone who won't be forgotten I've got a question and you've got the answer I do a dance to make the rain come Smile to keep the sky from falling down, down, down, down Collect the love that I've been given Build a nest for us to sleep in here You know it's real I check my palms The cracks in the sidewalk My visions and my dreams I cross all my fingers That you'll be someone who won't be forgotten What was your question? I've got the answer I do a dance to make the rain come Smile to keep the sky from falling down, down, down, down Collect the love that I've been given Build a nest for us to sleep in here You know it's real There are no signs There are no stars aligned No amulets, not a charm To bring you back to my arms There's just this human heart that's built with this human flaw What was your question? Love is the answer I do a dance to make the rain come Smile to keep the sky from falling down, down, down, down Collect the love that I've been given Build a nest for us to sleep in here You know it's real",Lyrics_MarryMe.json
The Apocalypse Song,"Wait, I'll be swifter than the speed of light Carbon all my body, a billion years of time You'll wake with the stitches over both your eyes And deny me my body and all earthly delights It's time, you are light I guess you are afraid of what everyone is made of Time and light I guess you are afraid of what everyone is made of All of your praying amounts to just one breath Please keep your victory, but give me little death It's time, you are light I guess you are afraid of what everyone is made of Time and light I guess you are afraid of what everyone is made of Time, time, time, time Time, you are light I guess you are afraid of what everyone is made of Time and light I guess you are afraid of what everyone is made of Everyone is made of So take to the streets with apocalypse refrain Your devotion has the look of a lunatic's gaze",Lyrics_MarryMe.json
We Put a Pearl in the Ground,,Lyrics_MarryMe.json
Landmines,"I'm crawling through landmines Just to know where you are There's smoke in my eyes 'Cause you're burning the ground I'm crawling through landmines Just to feel where you are Under cover of night I put a pearl in the ground Where'd you go? Please don't go Where'd you go? Please don't go I found your ring with the feather on One arm in and one arm gone Save this ring, let's bring Paris right here Oh, my dear My love Do you know, my love? Do you know? I'm crawling through landmines Just to feel where you've been There's gauze over my eyes But you're leaving this trail I'm crawling through landmines I know 'cause I planted them Under cover of night I put my heart in the ground Oh, where'd you go? Please don't go Where'd you go? Please don't go I found your glove with the leather torn Five fingers that I'm counting on Smoke signals to call you right here Oh, my love My dear My love My dear My love My dear My love My dear My love My dear",Lyrics_MarryMe.json
Human Racing,"Romeo, where'd you go? It's been years and still no sign but I'm keeping hope alive Juliet, how you been? You look like death, like you sure could use some rest from this place, human racing and the faces of people who pound at your door They'll always want more, they'll want more Hummingbird, what's the word? Are you still your mother's child or have you found yourself a flower? Flower child, you're still wild Under a harvest moon, can we eat of all the fruits of our youth? Tell the truth now Your heart is a strange little orange to peel What's the deal? What's the deal? Mary, dear, how you feel? Are you lost without your lamb? You know I think I understand Little lamb, what's your plan? Greener pastures in the sky? It's a shame you want to die, know why? Just to find you've been blinded to the greenest of pastures They're right here on Earth For what it's worth, you're not... ...the first to break my heart You're not the first to break my heart You're not the first to break my heart You're not the first to break my heart You're not the first to break my heart",Lyrics_MarryMe.json
What Me Worry?,"What, me worry? I never do I'm always amused And amusing you Sans le fear of impending doom Life is like banquet food Pleasure to peruse Do I amuse you, dear? Would you think me queer If while standing beside you I opted instead to disappear? Disappear In no hurry I'll sing my tune All my skies the hue Of a ruddy bruise In my finest threads couture I'll call up my favorite muse For a drink—half full—or two Have I abused you, dear? You have had it to here You say, ""Love is just a blood match to see who endures lash After lash With panache."" In the spring, I dust off my lute Stuff my suitcase full of blues And I'll stir the dust underneath The thrust of my clicking heels C'est la vie What, me worry? I never do Life is one charming ruse For us lucky few Have I fooled you, dear? The time, it's coming near When I'll give you my hand and I'll say, ""It's been grand But, I'm out of here."" I'm out of here",Lyrics_MarryMe.json
